"fi_FI";"en_GB";"se_SV"
"Espoon kaupunginkirjasto - Tapiolan kirjasto";;
"Espoon kaupunginkirjasto - kirjastoauto";;
"Espoon kaupunginkirjasto / Entressen kirjasto";;
"Espoon kaupunginkirjasto. Sellon toimipiste";;
"Espoon kaupunginkirjasto/Hakeutuva toiminta";;
"Euran kunnankirjasto";;
"Forssan kaupunginkirjasto";;
"Haapajärven kirjasto";;
"Haapaveden kirjasto";;
"Hailuodon kunta / kunnankirjasto";;
"Halsuan kunnankirjasto";;
"Haminan kaupunginkirjasto";;
"Hangon kaupunginkirjasto";;
"Hangon kaupunginkirjasto - Hangö stadsbibliotek";;
"Hankasalmen kirjasto";;
"Harjavallan kaupunginkirjasto";;
"Hartolan kunnankirjasto";;
"Hattulan kunnankirjasto";;
"Heinolan kaupunginkirjasto";;
"Heinäveden kunnankirjasto";;
"Helsingin kaupunginkirjasto";;
"Honkajoen kunnankirjasto";;
"Huittisten kaupunginkirjasto";;
"Hyrynsalmen kirjasto";;
"Hyrynsalmen kunta / kunnankirjasto";;
"Hyvinkään kaupunginkirjasto";;
"Hyvinkään kaupunginkirjasto";;
"Hämeenkyrön kirjasto";;
"Hämeenlinnan kaupunginkirjasto";;
"Hämeenlinnan kaupunginkirjasto - Hämeen maakuntakirjasto";;
"Hämeenlinnan kaupunginkirjasto-Hämeen maakuntakirjasto";;
"Iin kunta /Ii-instituutti -liikelaitos /Pääkirjasto";;
"Iisalmen kaupunginkirjasto";;
"Iitin kunnankirjasto";;
"Ikaalisten kaupunginkirjasto";;
"Ilmajoen kunnankirjasto";;
"Ilomantsin kunnankirjasto";;
"Imatran kaupunginkirjasto";;
"Inarin kunnankirjasto";;
"Ingå kommunbibliotek";;
"Isojoen kirjasto";;
"Isojoen kunnankirjasto";;
"Isonkyrön kunnankirjasto";;
"JJR-kirjasto, Juvan kirjasto";;
"Jalasjärven kunnankirjasto";;
"Janakkalan kirjasto";;
"Joensuun seutukirjasto - Pohjois-Karjalan maakuntakirjasto";;
"Jokelan kirjasto";;
"Jokioisten kunnankirjasto";;
"Joutsan kunnankirjasto";;
"Juuan kunnankirjasto";;
"Jyväskylän kaupunginkirjasto - Keski-Suomen maakuntakirjasto";;
"Jyväskylän kaupunginkirjasto – Keski-Suomen maakuntakirjasto";;
"Jämsän kaupunginkirjasto";;
"Kaarinan kaupunginkirjasto";;
"Kaavin kirjasto";;
"Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto";;
"Kalajoen kaupunginkirjasto";;
"Kalajoen kaupunki/kaupunginkirjasto";;
"Kangasalan kunnankirjasto";;
"Kangasniemen kunnankirjasto";;
"Kankaanpään kaupunginkirjasto";;
"Kannonkosken kunnankirjasto";;
"Kannuksen kaupunginkirjasto";;
"Karijoen kunnankirjasto";;
"Karkkilan kaupunginkirjasto";;
"Karleby stadsbibliotek-landskapsbibliotek";;
"Kaskisten kaupunginkirjasto";;
"Kauhajoen kaupunginkirjasto";;
"Kauhavan kaupunginkirjasto";;
"Kaustisen kirjasto";;
"Keiteleen ja Pielaveden kirjastot";;
"Keiteleen ja Pielaveden kunnankirjastot";;
"Keiteleen kunnankirjasto";;
"Kemijärven kaupunginkirjasto";;
"Kemin kaupunginkirjasto";;
"Keminmaan kunnankirjasto";;
"Kempeleen kirjasto";;
"Kempeleen kunta/ kirjasto";;
"Keravan kaupunginkirjasto";;
"Kerimäen kirjasto";;
"Keuruun kaupunginkirjasto";;
"Kihniön kunnankirjasto";;
"Kimitoöns kommunbibliotek";;
"Kirkkonummen kunnankirjasto";;
"Kiteen kaupunginkirjasto";;
"Kittilän kunnankirjasto";;
"Kiuruveden kaupunginkirjasto";;
"Koillis-Savon aluekirjasto";;
"Kokemäen kaupunginkirjasto";;
"Kokkolan kaupunginkirjasto - maakuntakirjasto";;
"Kokkolan kaupunginkirjasto-maakuntakirjasto";;
"Kokkolan kaupunginkirjato-maakuntakirjasto";;
"Kolarin kunnankirjasto";;
"Korsholms bibliotek";;
"Korsnäs kommunbibliotek";;
"Kotkan kaupunginkirjasto";;
"Kouvolan kaupunginkirjasto";;
"Kouvolan kaupunginkirjasto - maakuntakirjasto";;
"Kouvolan kaupunginkirjasto-maakuntakirjasto";;
"Kronoby kommunbibliotek";;
"Kuhmoisten kunnakirjasto";;
"Kuhmon kaupunginkirjasto";;
"Kuopion kaupunginkirjasto";;
"Kuopion kaupunginkirjasto - Pohjois-Savon maakuntakirjasto";;
"Kuopion kaupunginkirjasto - Pohjois-savon maakuntakirjasto";;
"Kuortaneen kunnankirjasto";;
"Kurikan kaupunginkirjasto";;
"Kurikan kaupunginkirjasto/Jalasjärven kirjasto";;
"Kustavin kunnankirjasto";;
"Kuusamon kaupunginkirjasto";;
"Kyyjärven kunnankirjasto";;
"Kärsämäen kirjasto";;
"Lahden kaupunginkirjasto-maakuntakirjasto";;
"Laihian kirjasto";;
"Lapin maakuntakuntakirjasto - Rovaniemen kaupunginkirjasto";;
"Lapinjärven kirjasto";;
"Lapinlahden kunnankirjasto";;
"Lappeenrannan maakuntakirjasto";;
"Lapuan kaupunginkirjasto";;
"Larsmo kommunbibliotek";;
"Laukaan kunnankirjasto";;
"Lempäälän kunnankirjasto";;
"Leppävirran kunnankirjasto";;
"Liedon kunnankirjasto";;
"Lieksan kaupunginkirjasto";;
"Limingan kirjasto";;
"Limingan kunnankirjasto";;
"Lohjan kaupunginkirjasto";;
"Lohjan kaupunginkirjato";;
"Loimaan kaupunginkirjasto";;
"Lopen kunnankirjasto";;
"Loviisan kaupunginkirjasto";;
"Luhangan kunnankirjasto";;
"Lumijoen kirjasto Hiidenkivi";;
"Lumijoen kunnankirjasto";;
"Luumäen kunnankirjasto";;
"Luvian kunnankirjasto";;
"Marttilan kunnankirjasto";;
"Maskun kunnankirjasto";;
"Merijärven kunnankirjasto";;
"Mikkelin kaupunginkirjasto";;
"Mikkelin kaupunginkirjasto - Etelä-Savon maakuntakirjasto";;
"Muhoksen kunnankirjasto";;
"Muonion kunnankirjasto";;
"Mynämäen kunnankirjasto";;
"Myrskylän kirjasto";;
"Mäntsälän kirjasto";;
"Mänttä-Vilppulan kaupunginkirjasto";;
"Mäntyharjun kunnankirjasto";;
"Naantalin kaupunginkirjasto";;
"Nakkilan kunnankirjasto";;
"Nilsiän kirjasto";;
"Nivalan kaupunginkirjasto";;
"Nivalan kaupunginkirjasto / Tiekkö-kirjastot";;
"Nokian kaupunginkirjasto";;
"Nousiaisten kunnankirjasto";;
"Nurmeksen kaupunginkirjasto";;
"Nurmijärven kirjasto";;
"Nurmijärven kunnankirjasto";;
"Nykarleby stadsbibliotek";;
"Orimattilan kaupunginkirjasto";;
"Oripään kirjasto";;
"Oriveden kaupunginkirjasto";;
"Oulaisten kaupunginkirjasto";;
"Oulaisten kaupunki/ kaupunginkirjasto";;
"Oulun kaupunginkirjasto-maakuntakirjasto";;
"Padasjoen kunnankirjasto";;
"Paimion kaupunginkirjasto";;
"Paltamon kunnankirjasto";;
"Paraisten kirjasto";;
"Pargas bibliotek";;
"Pargas stadsbibliotek";;
"Pargas stadsbibliotek / Blankabiblioteken";;
"Pargas stadsbibliotek / Iniö och Utö bibliotek";;
"Pargas stadsbibliotek / Pargas bibliotek";;
"Parikkalan kirjasto";;
"Parkanon kaupunginkirjasto";;
"Pedersöre kommunbibliotek";;
"Pieksämäen kaupunginkirjasto";;
"Pirkkalan kunnankirjasto";;
"Pomarkun kunnankirjasto";;
"Porin kaupunginkirjasto - Satakunnan maakuntakirjasto";;
"Pornaisten kunnankirjasto";;
"Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto";;
"Posion kunnankirjasto";;
"Pudasjärven kaupuginkirjasto";;
"Pudasjärven kaupunginkirjasto";;
"Pukkilan kunnankirjasto";;
"Punkaharjun kirjasto";;
"Punkalaitumen kirjasto";;
"Pyhäjoen kunnankirjasto";;
"Pyhäjärven kirjasto";;
"Pyhännän kunnankirjasto";;
"Pälkäneen kunnankirjasto";;
"Pöytyän kirjasto";;
"Raahen kaupunginkirjasto";;
"Raision kaupunginkirjasto";;
"Rantsilan kirjasto";;
"Ranuan kunnankirjasto";;
"Raseborgs stadsbibliotek";;
"Raseborgs stadsbibliotek/ Ekenäs bibliotek";;
"Rauman kaupunginkirjasto";;
"Rautalammin kunnankirjasto";;
"Rautavaaran kunnankirjasto";;
"Riihimäen kaupunginkirjasto";;
"Ristijärven kirjasto";;
"Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto";;
"Rovaniemen kaupunginkirjasto/Suomen saamelainen erikoiskirjasto";;
"Ruoveden kunnankirjasto";;
"Rääkkylän kirjasto";;
"Saarijärven kaupunginkirjasto";;
"Sallan kunnankirjasto";;
"Sastamalan kaupunginkirjasto";;
"Sauvon kirjasto";;
"Sauvon kunnankirjaston asiakaspalvelutoimintojen kehittäminen";;
"Savonlinnan kaupunginkirjasto";;
"Seinäjoen kaupunginkirjasto";;
