"Vuosi","Erityisavustus","Asian nimi","Hanke","kid","AvustuskokonaisuusKoodi","Kunta","Maakunta","Hakija","ToimiNimi","AviKoodi","Kieli","Myönnetty Avustus","KuvausTeksti","Toteutusalue","HankkeenSijaintikuntaTeksti","VaikutusalueKoodiTeksti","YhteistyotahotTeksti","KohdeRyhma","AsiaSana","TeemaKoodiTeksti","TiivistettyKuvausHankkeestaTeksti","HankkeenKohdistuminen.VarhaiskasvatusJaEsiopetusKytkin","HankkeenKohdistuminen.TyoikaisetAikuisetKytkin","HankkeenKohdistuminen.ElamankulkuKytkin","HankkeenKohdistuminen.MuuKohderyhmaKytkin","HankkeenKohdistuminen.KotouttavaLiikuntaKytkin","HankkeenKohdistuminen.IkaihmisetKytkin","HankkeenKohdistuminen.MuuLastenJaNuortenKohderyhmaKytkin","HankkeenKohdistuminen.SoveltuvaLiikuntaKytkin","HankkeenKohdistuminen.MuuKohderyhmaTeksti","Diaarinumero","KORG_ID","K_01_Kysely_ID","K_01_PAR_ID","Kysely status 2019","K_02_Yhteistiedot_Organisaation_nimi","K_02_Yhteistiedot_Työpajan_nimi","Ytunnus","K_47_valmentautuja_Nuoria_yht","K_47_valmentautuja_yhteensä_yht","K_43_Henk_htv_yhteensä_yht","K_43_Henk_no_yhteensä_yht","KerhotoimintaanOsallistuvatYhteensaLkm","PaivaleiritoimintaanOsallistuvatYhteensaLkm","KerhojenMaaraYhteensaLkm","PaivaleirienMaaraLkm","Liikuntapaikkatyyppi_LiikuntahalliKytkin","Liikuntapaikkatyyppi_UlkoPalloYleisurheilukenttaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaKytkin","Liikuntapaikkatyyppi_MuuliikuntapaikkaTeksti","Liikuntapaikkatyyppi_JaahalliKytkin","Liikuntapaikkatyyppi_LahiliikuntapaikkaKytkin","Liikuntapaikkatyyppi_RantauimalaVenesatamaKytkin","Liikuntapaikkatyyppi_KuntorataValaistuLatuUlkoilureittiKytkin","Liikuntapaikkatyyppi_UimahalliKytkin","Liikuntapaikkatyyppi_LaskettelurinneHyppyrimakiKytkin","Koulut_LukiotLkm","Oppilaat_Lukiot_YhteensaLkm","Koulut_AmmatillisetOppilaitoksetLkm","Oppilaat_AmmatillisetOppilaitokset_YhteensaLkm"
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha374","Kirjailijavierailuilla lukuintoa Nurmekseen",1507,"KiVa","Nurmes","Pohjois-Karjala","Nurmeksen kaupunginkirjasto","Nurmes",1024,"suomi",3000,,,"Nurmes","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha375","Kirjan kannet auki - kirjallisuuden lajit tutuiksi",1061,"KiVa","Tohmajärvi","Pohjois-Karjala","Tohmajärven kunnankirjasto","Tohmajärvi",1024,"suomi",10000,,,"Tohmajärvi","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha378","Kontakti kirjailijaan!",1090,"KiVa","Lieksa","Pohjois-Karjala","Lieksan kaupunginkirjasto","Lieksa",1024,"suomi",3000,,,"Lieksa","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha388","Elämyksiä Hiidenkivestä",1215,"KiVa","Lumijoki","Pohjois-Pohjanmaa","Lumijoen kunnankirjasto","Lumijoki",1025,"suomi",2000,,,"Lumijoki","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha392","Kirjailija innoittaa ja elävöittää kirjastopalveluja ",165,"KiVa","Alavieska","Pohjois-Pohjanmaa","Alavieskan kunnankirjasto","Alavieska",1025,"suomi",5000,,,"Alavieska","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha396","Klassikot heräävät Ruususen unesta",1311,"KiVa","Ii","Pohjois-Pohjanmaa","Iin kunta /Ii-instituutti -liikelaitos /Pääkirjasto","Ii",1025,"suomi",15000,,,"Ii","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha397","Lukuinnostusta aikuisille",1133,"KiVa","Kalajoki","Pohjois-Pohjanmaa","Kalajoen kaupunginkirjasto","Kalajoki",1025,"suomi",2000,,,"Kalajoki","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha398","Lukutoukasta kirjahaukaksi",2301,"KiVa","Tyrnävä","Pohjois-Pohjanmaa","Tyrnävän kunnankirjasto","Tyrnävä",1025,"suomi",1000,,,"Tyrnävä","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha411","Koko koulu lukee 2",1117,"KiVa","Keitele","Pohjois-Savo","Keiteleen ja Pielaveden kunnankirjastot","Keitele",1024,"suomi",3500,,,"Keitele","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha416","Runonrustaajat : runotyöpaja 1-2- luokkalaisille",1035,"KiVa","Siilinjärvi","Pohjois-Savo","Siilinjärven kunnankirjasto","Siilinjärvi",1024,"suomi",2800,,,"Siilinjärvi","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha417","Silkkaa sarjakuvaa yläkoululaisille",1039,"KiVa","Siilinjärvi","Pohjois-Savo","Siilinjärven kunnankirjasto","Siilinjärvi",1024,"suomi",6000,,,"Siilinjärvi","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha422","HANAA! – kirjamoottori käyntiin ja vauhtia!",1101,"KiVa","Hartola","Päijät-Häme","Hartolan kunnankirjasto","Hartola",1023,"suomi",3500,,,"Hartola","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha425","Lukutaidon laajakaista",977,"KiVa","Heinola","Päijät-Häme","Heinolan kaupunginkirjasto","Heinola",1023,"suomi",4000,,,"Heinola","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha430","Elämyksellistä kirjavinkkausta kolmosille : Kirjavinkkaustoiminnan kehittäminen Euran kunnan kirjastossa",1173,"KiVa","Eura","Satakunta","Euran kunnankirjasto","Eura",1026,"suomi",2300,,,"Eura","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha434","Luvia lukemaan! kaikenikäisten lukemaan innostaminen",1153,"KiVa","Luvia","Satakunta","Luvian kunnankirjasto","Luvia",1026,"suomi",2500,,,"Luvia","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha447","Jaetut muistot -projekti",999,"KiVa","Hyvinkää","Uusimaa","Hyvinkään kaupunginkirjasto","Hyvinkää",1023,"suomi",3500,,,"Hyvinkää","kunnan- tai kaupunginosat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Normaaliavustus","Valtionavustukset kirjastoille vanha448","Kaappaa kirja! - Lukukampanja nuorille",978,"KiVa","Hyvinkää","Uusimaa","Hyvinkään kaupunginkirjasto","Hyvinkää",1023,"suomi",5000,,,"Hyvinkää","kunnat",,,,"Lukemisen edistäminen: kirjailijavierailut, kirjavinkkaus, lukupiirit, satutunnit ym.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
