ProjectCode,ProjectTitle,ActionTypeDescription,ActionType,CallYear,PIC,Accreditation Type,NameInLatinCharacterSet,OrganisationType,City,CountryRegionDescription,DurationInMonths,ProjectStartDate,ProjectEndDate,Initial awarded grant(IAG),Topic Code,Topic Name,Horizontal Priority Name,City_korjattu
2023-2-FI01-KA152-YOU-000168210,Back to the Future: Towards Sustainable Everyday Choices,Mobility  of young people,KA152-YOU,2023,E10334763,,Porvoon Polunlöytäjät PoPo ry,Non-governmental organisation/association,Porvoo,Helsinki-Uusimaa,10,1.8.2023,31.5.2024,36503,TOPIC-163_TOPIC-61_TOPIC-70,Digital skills and competences_Green skills_Cultural heritage,#PUUTTUU!,
2023-2-FI01-KA152-YOU-000167966,Erätaitoja ja historiaa,Mobility  of young people,KA152-YOU,2023,E10265940,,Länsi-Saimaan 4H-yhdistys,Non-governmental organisation/association,Luumäki,Etelä-Karjala,12,1.8.2023,31.7.2024,18992,TOPIC-102_TOPIC-70_TOPIC-83,"Bridging intercultural, intergenerational and social divide_Cultural heritage_European identity, citizenship and values",#PUUTTUU!,
2023-2-FI01-KA152-YOU-000167864,Bites of culture,Mobility  of young people,KA152-YOU,2023,E10048978,,Ankkapurhan kulttuurisäätiö,Foundation,Kouvola,Kymenlaakso,24,1.8.2023,31.7.2025,25867,TOPIC-102_TOPIC-161_TOPIC-83,"Bridging intercultural, intergenerational and social divide_Creativity, arts and culture_European identity, citizenship and values",#PUUTTUU!,
2023-1-FI01-KA220-YOU-000161877,PEACE4Europe,Cooperation partnerships in youth,KA220-YOU,2023,E10202440,,KAAKKOIS-SUOMEN AMMATTIKORKEAKOULU OY,Higher education institution (tertiary level),Mikkeli,Etelä-Savo,36,1.9.2023,31.8.2026,400000,TOPIC-136_TOPIC-179_TOPIC-83,"Quality and innovation of youth work_Prevention of conflicts, post-conflict rehabilitation_European identity, citizenship and values","Common values, civic engagement and participation",
2023-1-FI01-KA220-YOU-000155405,Empowering Youth Participation in Nature Restoration,Cooperation partnerships in youth,KA220-YOU,2023,E10180292,,Nuorten Akatemia ry,Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,36,1.9.2023,31.8.2026,400000,TOPIC-13_TOPIC-136_TOPIC-97,Environment and climate change_Quality and innovation of youth work_New learning and teaching methods and approaches,Environment and fight against climate change,
2023-1-FI01-KA220-YOU-000153237,Crisis Help and Assistance for youth during challenging Times,Cooperation partnerships in youth,KA220-YOU,2023,E10147378,,"Nuorisotutkimusseura ry, Ungdomsforskningssällskapet rf",Non-governmental organisation/association,Helsinki,Helsinki-Uusimaa,29,1.9.2023,31.1.2026,400000,TOPIC-116_TOPIC-122_TOPIC-136,Digital youth work_Inclusion  of marginalised young people_Quality and innovation of youth work,#PUUTTUU!,
2023-1-FI01-KA220-VET-000160581,Sustainable Entrepreneurship in Smart Clothing,Cooperation partnerships in vocational education and training,KA220-VET,2023,E10087929,,Lounais-Hämeen koulutuskuntayhtymä,School/Institute/Educational centre – Vocational Training (secondary level),Forssa,Kanta-Häme,36,1.11.2023,31.10.2026,400000,TOPIC-190_TOPIC-41_TOPIC-61,"Digital content, technologies and practices_Entrepreneurial learning - entrepreneurship education_Green skills","Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-1-FI01-KA220-VET-000160282,CaBatt – Capacity Building for Battery Teachers in Vocational Education and Training,Cooperation partnerships in vocational education and training,KA220-VET,2023,E10164277,,Vaasan kaupunki,School/Institute/Educational centre – Vocational Training (secondary level),Vaasa,Pohjanmaa,28,1.9.2023,31.12.2025,250000,TOPIC-171_TOPIC-172_TOPIC-72,"Overcoming skills mismatch and addressing the needs of the labour market_Initial and continuous training for teachers, trainers and other education staff_Cooperation between educational institutions and business",Environment and fight against climate change,
2023-1-FI01-KA220-VET-000156528,Lifelong moving and volunteering in Europe,Cooperation partnerships in vocational education and training,KA220-VET,2023,E10191525,,Valkeakosken seudun koulutuskuntayhtymä,School/Institute/Educational centre – Vocational Training (secondary level),Valkeakoski,Pirkanmaa,24,1.9.2023,31.8.2025,120000,TOPIC-163_TOPIC-180,"Digital skills and competences_Physical and mental health, well-being","Common values, civic engagement and participation",
2023-1-FI01-KA220-VET-000156494,Creating cross-border collaboration in film education in the Sámi region and piloting an innovative traineeship programme model for Sámi film productions,Cooperation partnerships in vocational education and training,KA220-VET,2023,E10284502,,Saamelaisalueen koulutuskeskus,School/Institute/Educational centre – Vocational Training (secondary level),Inari,Lappi,24,1.9.2023,31.8.2025,250000,TOPIC-187_TOPIC-33_TOPIC-72,International relations and development cooperation_Roma and/or other minorities_Cooperation between educational institutions and business,"Inclusion and diversity in all fields of education, training, youth and sport",
2023-1-FI01-KA220-VET-000156228,Integrating Ukrainians to VET,Cooperation partnerships in vocational education and training,KA220-VET,2023,E10171962,,Seinäjoen koulutuskuntayhtymä,School/Institute/Educational centre – Vocational Training (secondary level),Seinäjoki,Etelä-Pohjanmaa,36,1.10.2023,30.9.2026,400000,TOPIC-139_TOPIC-140_TOPIC-183,"Reception and integration of refugees and migrants_Recognition, transparency, certification_Equal access and transition to labour market",#PUUTTUU!,
2023-1-FI01-KA220-VET-000154135,Game On - Level Up!,Cooperation partnerships in vocational education and training,KA220-VET,2023,E10151409,,Live-säätiö sr,School/Institute/Educational centre – Vocational Training (secondary level),Espoo,Helsinki-Uusimaa,24,1.9.2023,31.8.2025,250000,TOPIC-189_TOPIC-190_TOPIC-97,"Soft skills_Digital content, technologies and practices_New learning and teaching methods and approaches","Addressing digital transformation through development of digital readiness, resilience and capacity",
2023-1-FI01-KA220-SCH-000158362,"Three seas - one planet: Developing awareness, competence and commitment regarding sea conservation strategies by comparing practices in the Mediterranean, the Baltic, the Atlantic.",Cooperation partnerships in school education,KA220-SCH,2023,E10241203,,Vasa gymnasium,School/Institute/Educational centre – General education (secondary level),Vaasa,Pohjanmaa,12,1.9.2023,31.8.2024,120000,TOPIC-13_TOPIC-187_TOPIC-32,Environment and climate change_International relations and development cooperation_Research and innovation,"Common values, civic engagement and participation",
2023-1-FI01-KA220-SCH-000157451,We for a Sustainable EU,Cooperation partnerships in school education,KA220-SCH,2023,E10151209,,Joroisten lukio,School/Institute/Educational centre – General education (secondary level),Joroinen,Pohjois-Savo,24,1.9.2023,31.8.2025,120000,TOPIC-165_TOPIC-173_TOPIC-83,"Inclusion, promoting equality and non-discrimination_Science, technology, engineering and mathematics (STEM)_European identity, citizenship and values","Common values, civic engagement and participation",
